YEVMİYE DEFTERİ;;;;;
ALANYA ÖZKAN KIRTASİYE MAT.YAY.İNŞ.TİC.LTD.ŞTİ.;;;;;
Dönem :;01/01/2025-31/12/2025;;;;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat PS080134 000001613468585;476,19;;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat 02217645 000001613468569;19,05;;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat PS080134 000001613468585;23,81;;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat 02003840 000001613468568;19,05;;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat 02003840 000001613468568;380,95;;
   102.04;HALKBANK 10260200 NOLU HESAP;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat 02217645 000001613468569;380,95;;
FİŞ AÇIKLAMA : ;HALKBANK;;;;
TOPLAM :;;;;1.300,00;1.300,00
;;;;;
06350-----06350-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;98.704,80;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 952 Komisyon : 0,Bloke No : 1379590156, BT: 08 05 2025, ÇT:31 05;952,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 5322,64 Komisyon : 0,Bloke No : 1379590170, BT: 08 05 2025, ÇT:31;5.322,64;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 386 Komisyon : 0,Bloke No : 1379590177, BT: 08 05 2025, ÇT:31 05;386,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 956,2 Komisyon : 0,Bloke No : 1379590157, BT: 08 05 2025, ÇT:31 0;956,20;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 2389,5 Komisyon : 0,Bloke No : 1379590176, BT: 08 05 2025, ÇT:31;2.389,50;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 9617,99 Komisyon : 0,Bloke No : 1379590158, BT: 08 05 2025, ÇT:31;9.617,99;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 530 Komisyon : 0,Bloke No : 1379590175, BT: 08 05 2025, ÇT:31 05;530,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 17553,46 Komisyon : 0,Bloke No : 1379590159, BT: 08 05 2025, ÇT:3;17.553,46;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 330 Komisyon : 0,Bloke No : 1379590166, BT: 08 05 2025, ÇT:31 05;330,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 915 Komisyon : 0,Bloke No : 1379590160, BT: 08 05 2025, ÇT:31 05;915,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 710 Komisyon : 0,Bloke No : 1379590165, BT: 08 05 2025, ÇT:31 05;710,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 43735 Komisyon : 0,Bloke No : 1379590161, BT: 08 05 2025, ÇT:31 0;43.735,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 1477,5 Komisyon : 0,Bloke No : 1379590164, BT: 08 05 2025, ÇT:31;1.477,50;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 5373,6 Komisyon : 0,Bloke No : 1379590162, BT: 08 05 2025, ÇT:31;5.373,60;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 360 Komisyon : 0,Bloke No : 1379590174, BT: 08 05 2025, ÇT:31 05;360,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 2830 Komisyon : 0,Bloke No : 1379590163, BT: 08 05 2025, ÇT:31 05;2.830,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 1116,1 Komisyon : 0,Bloke No : 1379590173, BT: 08 05 2025, ÇT:31;1.116,10;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 956,25 Komisyon : 0,Bloke No : 1379590167, BT: 08 05 2025, ÇT:31;956,25;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 200 Komisyon : 0,Bloke No : 1379590172, BT: 08 05 2025, ÇT:31 05;200,00;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 383,56 Komisyon : 0,Bloke No : 1379590168, BT: 08 05 2025, ÇT:31;383,56;;
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 2610 Komisyon : 0,Bloke No : 1379590171, BT: 08 05 2025, ÇT:31 05;2.610,00;;
108;DİĞER HAZIR DEĞERLER;   ;;1.298,00;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İŞYERİ NO:000000000771359, DÖNEMİ:202506 POS YAZILIM DONANIM BAKIM ÜCRETİ - FİZİKİ POS KİRASI;1.298,00;;
102;BANKALAR;   ;;;1.298,00
   102.19;ZİRAAT POS HESABI;BE 70309432342080 01/06 İŞYERİ NO:000000000771359, DÖNEMİ:202506 POS YAZILIM DONANIM BAKIM ÜCRETİ - FİZİKİ POS KİRASI;1.298,00;;
108;DİĞER HAZIR DEĞERLER;   ;;;98.704,80
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 5322,64 Komisyon : 0,Bloke No : 1379590170, BT: 08 05 2025, ÇT:31;5.322,64;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 2610 Komisyon : 0,Bloke No : 1379590171, BT: 08 05 2025, ÇT:31 05;2.610,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 383,56 Komisyon : 0,Bloke No : 1379590168, BT: 08 05 2025, ÇT:31;383,56;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 1116,1 Komisyon : 0,Bloke No : 1379590173, BT: 08 05 2025, ÇT:31;1.116,10;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 956,25 Komisyon : 0,Bloke No : 1379590167, BT: 08 05 2025, ÇT:31;956,25;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 360 Komisyon : 0,Bloke No : 1379590174, BT: 08 05 2025, ÇT:31 05;360,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 2830 Komisyon : 0,Bloke No : 1379590163, BT: 08 05 2025, ÇT:31 05;2.830,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 1477,5 Komisyon : 0,Bloke No : 1379590164, BT: 08 05 2025, ÇT:31;1.477,50;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 5373,6 Komisyon : 0,Bloke No : 1379590162, BT: 08 05 2025, ÇT:31;5.373,60;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 710 Komisyon : 0,Bloke No : 1379590165, BT: 08 05 2025, ÇT:31 05;710,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 43735 Komisyon : 0,Bloke No : 1379590161, BT: 08 05 2025, ÇT:31 0;43.735,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 330 Komisyon : 0,Bloke No : 1379590166, BT: 08 05 2025, ÇT:31 05;330,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 915 Komisyon : 0,Bloke No : 1379590160, BT: 08 05 2025, ÇT:31 05;915,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 530 Komisyon : 0,Bloke No : 1379590175, BT: 08 05 2025, ÇT:31 05;530,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 17553,46 Komisyon : 0,Bloke No : 1379590159, BT: 08 05 2025, ÇT:3;17.553,46;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 2389,5 Komisyon : 0,Bloke No : 1379590176, BT: 08 05 2025, ÇT:31;2.389,50;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 9617,99 Komisyon : 0,Bloke No : 1379590158, BT: 08 05 2025, ÇT:31;9.617,99;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 386 Komisyon : 0,Bloke No : 1379590177, BT: 08 05 2025, ÇT:31 05;386,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 956,2 Komisyon : 0,Bloke No : 1379590157, BT: 08 05 2025, ÇT:31 0;956,20;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 952 Komisyon : 0,Bloke No : 1379590156, BT: 08 05 2025, ÇT:31 05;952,00;;
   108.01;KREDİ KARTI SATIŞLARI;BE 70309432342080 01/06 İşyeri no:000000000771359,Tutar : 200 Komisyon : 0,Bloke No : 1379590172, BT: 08 05 2025, ÇT:31 05;200,00;;
FİŞ AÇIKLAMA : ;ZİRAATBANK;;;;
TOPLAM :;;;;100.002,80;100.002,80
;;;;;
06351-----06351-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;14.353,39;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 01/06 1801374784X010625300425PEŞİNSATIŞ;7.221,07;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 01/06 1801374784X010625310525PEŞİNSATIŞ;999,95;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 01/06 1801374784X010625210425PEŞİNSATIŞ;5.365,70;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 01/06 1801374784X010625040525TAKSİTSATIŞ;766,67;;
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;88,19;
   760.13;BANKA POS GİDERLERİ;BE 70313050042140 01/06 1801374784X010625040525ÜYE İŞYERİ ÜCRETİ - TAKSİT BSMV;0,44;;
   760.13;BANKA POS GİDERLERİ;BE 70313050042140 01/06 1801374784X010625040525ÜYE İŞYERİ ÜCRETİ - TAKSİT;8,81;;
   760.13;BANKA POS GİDERLERİ;BE 70313050042140 01/06 1801374784X010625300425PEŞİNSATIŞKATKIPAYI;36,11;;
   760.13;BANKA POS GİDERLERİ;BE 70313050042140 01/06 1801374784X010625040525TAKSİTLİSATIŞKATKIPAYI;23,00;;
   760.13;BANKA POS GİDERLERİ;BE 70313050042140 01/06 1801374784X010625310525ÜYE İŞYERİ ÜCRETİ - PEŞİN BSMV;0,94;;
   760.13;BANKA POS GİDERLERİ;BE 70313050042140 01/06 1801374784X010625310525ÜYE İŞYERİ ÜCRETİ - PEŞİN;18,89;;
102;BANKALAR;   ;;;88,19
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 01/06 1801374784X010625310525ÜYE İŞYERİ ÜCRETİ - PEŞİN BSMV;0,94;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 01/06 1801374784X010625310525ÜYE İŞYERİ ÜCRETİ - PEŞİN;18,89;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 01/06 1801374784X010625300425PEŞİNSATIŞKATKIPAYI;36,11;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 01/06 1801374784X010625040525TAKSİTLİSATIŞKATKIPAYI;23,00;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 01/06 1801374784X010625040525ÜYE İŞYERİ ÜCRETİ - TAKSİT;8,81;;
   102.01;YAPIKREDİ TR39 0006 7010 0000 0055 2238 24 NOLU HS. ;BE 70313050042140 01/06 1801374784X010625040525ÜYE İŞYERİ ÜCRETİ - TAKSİT BSMV;0,44;;
108;DİĞER HAZIR DEĞERLER;   ;;;14.353,39
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;BE 70313050042140 01/06 1801374784X010625300425PEŞİNSATIŞ;7.221,07;;
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;BE 70313050042140 01/06 1801374784X010625210425PEŞİNSATIŞ;5.365,70;;
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;BE 70313050042140 01/06 1801374784X010625310525PEŞİNSATIŞ;999,95;;
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;BE 70313050042140 01/06 1801374784X010625040525TAKSİTSATIŞ;766,67;;
FİŞ AÇIKLAMA : ;YKB;;;;
TOPLAM :;;;;14.441,58;14.441,58
;;;;;
06352-----06352-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
153;TİCARİ MALLAR;   ;;3.000,00;
153.20;%20 KDV Lİ ALIŞLAR;   ;3.000,00;;
   153.20.01;%20 KDV Lİ KIRTASİYE ALIŞLARI;FT EFB2025000002040 01/06 KADIOĞLU KIRTASİYE TİCARET VE SANAYİLTD.ŞTİ.;3.000,00;;
191;İNDİRİLECEK KATMA DEĞER VERGİSİ;   ;;600,00;
191.108;Yurtiçi Tevkifatsız Alımlar İçin Ödenen KDV;   ;600,00;;
   191.108.20;%20 İndirilecek KDV - Yurtiçi Tevkifatsız Alımlar İçin Ödenen;FT EFB2025000002040 01/06 KADIOĞLU KIRTASİYE TİCARET VE SANAYİLTD.ŞTİ.;600,00;;
320;SATICILAR;   ;;;3.600,00
   320.354;KADIOĞLU KIRTASİYE TİCARET VE SANAYİLTD.ŞTİ.;FT EFB2025000002040 01/06 KADIOĞLU KIRTASİYE TİCARET VE SANAYİLTD.ŞTİ.;3.600,00;;
FİŞ AÇIKLAMA : ;ALIŞ;;;;
TOPLAM :;;;;3.600,00;3.600,00
;;;;;
06353-----06353-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
108;DİĞER HAZIR DEĞERLER;   ;;16,00;
   108.01;KREDİ KARTI SATIŞLARI;ZR 3031 01/06 MOBİL Z RAPORU;16,00;;
600;YURTİÇİ SATIŞLAR;   ;;;16,00
600.00;KDV SİZ SATIŞLARI;   ;16,00;;
   600.00.01;KDV SİZ KİTAP SATIŞLARI;ZR 3031 01/06 MOBİL Z RAPORU;16,00;;
FİŞ AÇIKLAMA : ;Z RAPORU;;;;
TOPLAM :;;;;16,00;16,00
;;;;;
06354-----06354-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
100;KASA;   ;;5.809,64;
   100.01;NAKİT KASASI TL;ZR 0969 01/06 MERKEZ Z RAPORU;5.809,64;;
108;DİĞER HAZIR DEĞERLER;   ;;15.559,80;
   108.01;KREDİ KARTI SATIŞLARI;ZR 0969 01/06 MERKEZ Z RAPORU;15.559,80;;
391;HESAPLANAN KDV;   ;;;2.444,36
   391.010;% 10 HESAPLANAN KDV;ZR 0969 01/06 MERKEZ Z RAPORU;197,74;;
   391.020;% 20 HESAPLANAN KDV;ZR 0969 01/06 MERKEZ Z RAPORU;2.246,62;;
600;YURTİÇİ SATIŞLAR;   ;;;18.925,08
600.00;KDV SİZ SATIŞLARI;   ;5.714,60;;
   600.00.01;KDV SİZ KİTAP SATIŞLARI;ZR 0969 01/06 MERKEZ Z RAPORU;5.714,60;;
600.010;% 10 KDV Lİ SATIŞLAR;   ;1.977,36;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;ZR 0969 01/06 MERKEZ Z RAPORU;1.977,36;;
600.020;%20 KDV Lİ SATIŞLAR;   ;11.233,12;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;ZR 0969 01/06 MERKEZ Z RAPORU;11.233,12;;
FİŞ AÇIKLAMA : ;Z RAPORU;;;;
TOPLAM :;;;;21.369,44;21.369,44
;;;;;
06355-----06355-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
108;DİĞER HAZIR DEĞERLER;   ;;5.165,00;
   108.01;KREDİ KARTI SATIŞLARI;ZR 0025 01/06 KAFE Z RAPORU 2;5.165,00;;
391;HESAPLANAN KDV;   ;;;469,55
   391.010;% 10 HESAPLANAN KDV;ZR 0025 01/06 KAFE Z RAPORU 2;469,55;;
600;YURTİÇİ SATIŞLAR;   ;;;4.695,45
600.10;KAFE SATIŞLARI;   ;4.695,45;;
   600.10.10;YİYECEK İÇECEK SATIŞLARI %10 KDVLİ;ZR 0025 01/06 KAFE Z RAPORU 2;4.695,45;;
FİŞ AÇIKLAMA : ;Z RAPORU;;;;
TOPLAM :;;;;5.165,00;5.165,00
;;;;;
06356-----06356-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
191;İNDİRİLECEK KATMA DEĞER VERGİSİ;   ;;71,50;
191.108;Yurtiçi Tevkifatsız Alımlar İçin Ödenen KDV;   ;71,50;;
   191.108.20;%20 İndirilecek KDV - Yurtiçi Tevkifatsız Alımlar İçin Ödenen;FT ET02025000000298 01/06 ENTEGRA BİLİŞİM SANAYİ VE TİCARET ANONİM ŞİRKETİ;71,50;;
689;DİĞER OLAĞANDIŞI GİDER VE ZARARLAR (-);   ;;35,75;
689.01;KANUNEN KABUL EDİLMEYEN GİDERLER;   ;35,75;;
   689.01.10;6802 sayılı Gider Vergileri Kanunu uyarınca gider yazılan özel iletişim vergisi;FT ET02025000000298 01/06 ENTEGRA BİLİŞİM SANAYİ VE TİCARET ANONİM ŞİRKETİ;35,75;;
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;357,50;
760.19;FENERİUM GİDERLER;   ;357,50;;
   760.19.13;% 20 KDV Lİ HABERLEŞME GİDERLERİ;FT ET02025000000298 01/06 ENTEGRA BİLİŞİM SANAYİ VE TİCARET ANONİM ŞİRKETİ;357,50;;
320;SATICILAR;   ;;;464,75
   320.1908;ENTEGRA BİLİŞİM SANAYİ VE TİCARET ANONİM ŞİRKETİ;FT ET02025000000298 01/06 ENTEGRA BİLİŞİM SANAYİ VE TİCARET ANONİM ŞİRKETİ;464,75;;
FİŞ AÇIKLAMA : ;FENERİUM ALIŞ;;;;
TOPLAM :;;;;464,75;464,75
;;;;;
06357-----06357-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
100;KASA;   ;;11.902,80;
   100.01;NAKİT KASASI TL;ZR 2336 01/06 FENERİUM Z RAPORU;11.902,80;;
108;DİĞER HAZIR DEĞERLER;   ;;20.225,32;
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;ZR 2336 01/06 FENERİUM Z RAPORU;20.225,32;;
391;HESAPLANAN KDV;   ;;;3.377,84
   391.010;% 10 HESAPLANAN KDV;ZR 2336 01/06 FENERİUM Z RAPORU;2.372,22;;
   391.020;% 20 HESAPLANAN KDV;ZR 2336 01/06 FENERİUM Z RAPORU;1.005,62;;
600;YURTİÇİ SATIŞLAR;   ;;;28.750,28
600.19;FENERİUM SATIŞLAR;   ;28.750,28;;
   600.19.10;%10 KDVLİ MALZEME SATIŞLARI;ZR 2336 01/06 FENERİUM Z RAPORU;23.722,15;;
   600.19.20;% 20 KDV Lİ MALZEME SATIŞLARI;ZR 2336 01/06 FENERİUM Z RAPORU;5.028,13;;
FİŞ AÇIKLAMA : ;FENERİUM SATIŞ;;;;
TOPLAM :;;;;32.128,12;32.128,12
;;;;;
06358-----06358-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
320;SATICILAR;   ;;4.550,00;
   320.568;ORECA OTEL EKİPMANLARI TURİZM TİCARET ANONİM ŞİRKETİ;MF 1922 01/06 KREDİ KARTI İLE ÖDEME;4.550,00;;
336;DİĞER ÇEŞİTLİ BORÇLAR;   ;;;4.550,00
   336.09;ZİRAATBANK COMBO KREDİ KARTI **** 5629;MF 1922 01/06 KREDİ KARTI İLE ÖDEME;4.550,00;;
FİŞ AÇIKLAMA : ;ÖDEMELER;;;;
TOPLAM :;;;;4.550,00;4.550,00
;;;;;
06359-----06359-----MAHSUP-----02/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
320;SATICILAR;   ;;54.000,00;
   320.58;KRAL SPORT SPOR MALZ.TİC.LTD.ŞTİ.;ÇK 0038774 02/06 31/08/2025 VADELİ VAKIFBANK ÇEKİ;54.000,00;;
101;ALINAN ÇEKLER;   ;;;54.000,00
   101.01;ALINAN MÜŞTERİ ÇEKLERİ;ÇK 0038774 02/06 31/08/2025 VADELİ VAKIFBANK ÇEKİ;54.000,00;;
FİŞ AÇIKLAMA : ;TAHSİLATLAR;;;;
TOPLAM :;;;;54.000,00;54.000,00
;;;;;
06360-----06360-----MAHSUP-----02/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
102;BANKALAR;   ;;189.485,00;
   102.02;AKBANK 1330-0013212 NOLU HESAP;BE 70113291141890 02/06 001116426 AX-MC AKPOS PES ODE 20250423;375,00;;
   102.02;AKBANK 1330-0013212 NOLU HESAP;BE 70113291141890 02/06 001116426 YI-VS AKPOS PES ODE 20250423;1.570,00;;
